Name,status,population 1988,2002,2012,2022
Arusha,City,132861,281608,416442,617631
Arusha,District,,,,323198,449518
Karatu,District,111605,177951,230166,280454
Longido,District,,,,123153,175915
Arumeru,District,,,,268144,331603
Monduli,District,,,,158929,227585
Ngorongoro,District,69101,129362,174278,273549
Ilala,City,331663,634924,1220611,1649912
Kigamboni,Municipality,,,,162932,317902
Kinondoni,Municipality,,,,929681,982328
Temeke,Municipality,,,,1205949,1346674
Ubungo,Municipality,,,,845368,1086912
Bahi,District,,178981,221645,322526
Chamwino,District,,,,330543,486176
Chemba,District,,,,235711,339333
Dodoma,City,202665,322811,410956,765179
Kondoa,District,,,,210682,244854
Kondoa,Town,,,,59022,80443
Kongwa,District,163446,248656,309973,443867
Mpwapwa,District,176051,253602,305056,403247
Bukombe,District,,,,224542,407102
Chato,District,,,,365127,584963
Geita,District,,,,614912,1035214
Geita,Town,,,,192707,361671
Mbogwe,District,,,,193922,362855
Nyang'hwale,District,,,,148320,225803
Iringa,Municipality,84501,106371,151345,202490
Iringa,District,205504,245033,254032,315354
Kilolo,District,156989,204372,218130,263559
Mufindi,Town,,,,71641,122329
Mufindi,District,,230856,246090,288996
Biharamulo,District,,,,323486,457114
Bukoba,Municipality,46503,80868,128796,144938
Bukoba,District,,,,289697,322448
Karagwe,District,,,,332020,385744
Kyerwa,District,,,,321026,412910
Missenyi,District,,,,202632,245394
Muleba,District,273329,385184,540310,637659
Ngara,District,,,,320056,383092
Micheweni,District,61064,83266,103816,123379
Wete,District,76115,102060,107916,148712
Kaskazini A,Town,59990,84147,105780,157369
Kaskazini B,District,36999,52492,81675,99921
Mlele,District,,,,34698,118818
Mpanda,Municipality,,,,102900,245764
Mlele,District,,,,103625,215438
Mlele,District,,,,144245,201102
Tanganyika,District,,,,179136,371836
Buhigwe,District,,,,254342,240005
Kakonko,District,,,,167555,178419
Kasulu,District,,,,425794,537767
Kasulu,Town,,,,208244,238321
Kibondo,District,,,,261331,362922
Kigoma,Municipality,84704,144257,215458,232388
Kigoma,District,,,,211566,222792
Uvinza,District,,,,383640,458353
Hai,District,,,,210533,240999
Moshi,Municipality,96631,143799,184292,221733
Moshi,District,342891,401369,466737,535803
Mwanga,District,97003,115145,131442,148763
Rombo,District,200912,245716,260963,275314
Same,District,169718,211738,269807,300303
Siha,District,,,,116313,139019
Chake Chake,District,60051,82998,97249,136298
Mkoani,Town,67572,92473,97867,135052
Kati,District,45252,62391,76346,132717
Kusini,District,25061,31853,39242,63156
Kilwa,District,150419,171057,190744,297676
Lindi,Municipality,,,,142042,174126
Liwale,District,52240,75128,91380,136505
Lindi,District,,,,130942,166493
Nachingwea,District,117473,161473,178464,233655
Ruangwa,District,86449,124009,131080,185573
Babati,District,,,,312392,375200
Babati,Town,,,,93108,129572
Hanang,District,113270,204640,275990,367391
Kiteto,District,74460,152296,244669,352305
Mbulu,District,,,,191570,238272
Mbulu,Town,,,,128709,138593
Simanjiro,District,52895,141136,178693,291169
Bunda,District,,,,201084,243822
Bunda,Town,,,,133977,182970
Butiama,District,,,,203679,281656
Musoma,Municipality,68437,107855,134327,164172
Musoma,District,,,,216409,266665
Rorya,District,,217176,265241,354490
Serengeti,District,111689,176057,249420,340349
Tarime,District,,,,261656,404848
Tarime,Town,,,,78037,133043
Rungwe,District,,,,96348,100123
Chunya,District,,105882,156786,344471
Kyela,District,135091,173830,221490,266426
Mbarali,District,153182,234101,300517,446336
Mbeya,City,151881,265586,385279,541603
Mbeya,District,179900,254069,305319,371259
Rungwe,District,,,,242809,273536
Magharibi A,Municipality,,,,163740,329645
Magharibi B,Municipality,,,,206905,344517
Mjini,Municipality,157626,205870,223033,219007
Gairo,District,,,,193011,258205
Kilombero,Town,,80243,114202,290424
Kilosa,District,,,,438175,617032
Malinyi,District,,194378,226680,225126
Kilombero,District,,127233,181200,292536
Morogoro,Municipality,117601,227921,315866,471409
Morogoro,District,225857,263012,286248,387736
Mvomero,District,204345,259347,312109,421741
Ulanga,District,,113037,151001,232895
Masasi,District,,,,247993,314778
Masasi,Town,,,,102696,137585
Mtwara,Municipality,76686,92156,108299,146772
Mtwara,District,,,,120943,158504
Mtwara,Town,,,,107060,132624
Nanyumbu,District,,,,150857,204323
Newala,District,,,,116241,136939
Newala,Town,,,,89251,104349
Tandahimba,District,146506,203837,227514,299073
Sengerema,District,,,,327767,413110
Ilemela,Municipality,,256884,343001,509687
Kwimba,District,236443,314925,406509,480025
Magu,District,,,,299759,421119
Misungwi,District,191283,256133,351607,467867
Nyamagana,City,109985,209806,363452,594834
Sengerema,District,,,,335267,425415
Ukerewe,District,172946,260831,345147,387815
Ludewa,District,100206,128155,133218,151361
Njombe,Town,,,,93827,146481
Makete,District,102617,105775,97266,109160
Njombe,District,,,,85747,109311
Njombe,Town,,,,130223,182127
Wanging'ombe,District,,,,161816,191506
Bagamoyo,District,,,,97660,205478
Bagamoyo,District,,,,214080,316759
Kibaha,District,,,,70209,123367
Kibaha,Town,,,,128488,265360
Kibiti,District,,,,117752,195638
Kisarawe,District,78290,95323,101598,159226
Mafia,District,33079,40557,46438,66180
Mkuranga,District,114973,186927,222921,533033
Rufiji,District,,,,99522,159906
Kalambo,District,,,,207700,316783
Nkasi,District,107239,207311,281200,425420
Sumbawanga,Municipality,90703,146842,209793,303986
Sumbawanga,District,,,,305846,494330
Songea,District,,,,47774,65215
Mbinga,District,,,,235969,285582
Mbinga,Town,,,,117714,158896
Namtumbo,District,137038,175051,201639,271368
Nyasa,District,,,,146160,191193
Songea,Municipality,,,,203309,286285
Songea,District,,,,126047,178201
Tunduru,District,170320,247055,298279,412054
Kahama,Municipality,,,,242208,453654
Kishapu,District,192549,239305,272990,335483
Kahama,District,,,,250727,378214
Shinyanga,Municipality,98682,134523,161391,214744
Shinyanga,District,212847,276393,334417,468611
Kahama,District,,,,273075,390593
Bariadi,District,,,,278549,383385
Bariadi,Town,,,,144367,260927
Busega,District,,,,203597,282167
Itilima,District,,,,313900,419213
Maswa,District,220432,304402,344125,427864
Meatu,District,159272,248214,299619,366941
Ikungi,District,,,,272959,411262
Iramba,District,,,,236282,328912
Manyoni,District,,,,112565,215947
Manyoni,District,,,,184198,279069
Mkalama,District,,,,188733,255514
Singida,Municipality,81528,114853,150379,232459
Singida,District,,,,225521,284895
Ileje,District,88562,109847,124451,125869
Mbozi,District,,,,446339,510599
Momba,District,,,,196818,259781
Songwe,District,,100033,133692,229129
Tunduru,Town,,34316,97562,219309
Igunga,District,203367,324094,399727,546204
Kaliua,District,,,,393358,678447
Nzega,District,,348376,414392,574498
Nzega,Town,,66827,87860,125193
Sikonge,District,78633,132733,179883,335686
Tabora,Municipality,143148,188005,226999,308741
Urambo,District,,,,192781,260322
Uyui,District,126836,281101,396623,562588
Lushoto,District,,,,160005,159373
Handeni,District,,,,276646,384353
Handeni,Town,,,,79056,108968
Kilindi,District,88666,143792,236833,398391
Korogwe,District,,,,242038,272870
Korogwe,Town,,,,68308,86551
Lushoto,District,,,,332436,350958
Mkinga,District,,,,118065,146802
Muheza,District,,,,204461,238260
Pangani,District,37670,43920,54025,75642
Tanga,City,186818,242640,273332,393429