reg_name,dist_name,population
Dodoma,Bahi District,322526
Dodoma,Chamwino District,486176
Dodoma,Chemba District,339333
Dodoma,Dodoma City,765179
Dodoma,Kondoa District,244854
Dodoma,Kondoa Town,80443
Dodoma,Kongwa District,443867
Dodoma,Mpwapwa District,403247
Arusha,Arusha City,617631
Arusha,Arusha District,449518
Arusha,Karatu District,280454
Arusha,Longido District,175915
Arusha,Meru District,331603
Arusha,Monduli District,227585
Arusha,Ngorongoro District,273549
Kilimanjaro,Hai District,240999
Kilimanjaro,Moshi District,535803
Kilimanjaro,Moshi Municipal,221733
Kilimanjaro,Mwanga District,148763
Kilimanjaro,Rombo District,275314
Kilimanjaro,Same District,300303
Kilimanjaro,Siha District,139019
Tanga,Bumbuli District,159373
Tanga,Handeni District,384353
Tanga,Handeni Town,108968
Tanga,Kilindi District,398391
Tanga,Korogwe District,272870
Tanga,Korogwe Town,86551
Tanga,Lushoto District,350958
Tanga,Mkinga District,146802
Tanga,Muheza District,238260
Tanga,Pangani District,75642
Tanga,Tanga City,393429
Morogoro,Gairo District,258205
Morogoro,Ifakara Town,290424
Morogoro,Kilosa District,617032
Morogoro,Malinyi District,225126
Morogoro,Mlimba District,292536
Morogoro,Morogoro District,387736
Morogoro,Morogoro Municipal,471409
Morogoro,Mvomero District,421741
Morogoro,Ulanga District,232895
Pwani,Bagamoyo District,205478
Pwani,Chalinze District,316759
Pwani,Kibaha District,123367
Pwani,Kibaha Town,265360
Pwani,Kibiti District,195638
Pwani,Kisarawe District,159226
Pwani,Mafia District,66180
Pwani,Mkuranga District,533033
Pwani,Rufiji District,159906
Dar es Salaam,Dar es Salaam City,1649912
Dar es Salaam,Kigamboni Municipal,317902
Dar es Salaam,Kinondoni Municipal,982328
Dar es Salaam,Temeke Municipal,1346674
Dar es Salaam,Ubungo Municipal,1086912
Lindi,Kilwa District,297676
Lindi,Lindi Municipal,174126
Lindi,Liwale District,136505
Lindi,Mtama District,166493
Lindi,Nachingwea District,233655
Lindi,Ruangwa District,185573
Mtwara,Masasi District,314778
Mtwara,Masasi Town,137585
Mtwara,Mtwara District,158504
Mtwara,Mtwara Municipal,146772
Mtwara,Nanyamba Town,132624
Mtwara,Nanyumbu District,204323
Mtwara,Newala District,136939
Mtwara,Newala Town,104349
Mtwara,Tandahimba District,299073
Ruvuma,Madaba District,65215
Ruvuma,Mbinga District,285582
Ruvuma,Mbinga Town,158896
Ruvuma,Namtumbo District,271368
Ruvuma,Nyasa District,191193
Ruvuma,Songea District,178201
Ruvuma,Songea Municipal,286285
Ruvuma,Tunduru District,412054
Iringa,Iringa District,315354
Iringa,Iringa Municipal,202490
Iringa,Kilolo District,263559
Iringa,Mafinga Town,122329
Iringa,Mufindi District,288996
Mbeya,Busokelo District,100123
Mbeya,Chunya District,344471
Mbeya,Kyela District,266426
Mbeya,Mbarali District,446336
Mbeya,Mbeya City,541603
Mbeya,Mbeya District,371259
Mbeya,Rungwe District,273536
Singida,Ikungi District,411262
Singida,Iramba District,328912
Singida,Itigi District,215947
Singida,Manyoni District,279069
Singida,Mkalama District,255514
Singida,Singida District,284895
Singida,Singida Municipal,232459
Tabora,Igunga District,546204
Tabora,Kaliua District,678447
Tabora,Nzega District,574498
Tabora,Nzega Town,125193
Tabora,Sikonge District,335686
Tabora,Tabora Municipal,308741
Tabora,Urambo District,260322
Tabora,Uyui District,562588
Rukwa,Kalambo District,316783
Rukwa,Nkasi District,425420
Rukwa,Sumbawanga District,494330
Rukwa,Sumbawanga Municipal,303986
Kigoma,Buhigwe District,240005
Kigoma,Kakonko District,178419
Kigoma,Kasulu District,537767
Kigoma,Kasulu Town,238321
Kigoma,Kibondo District,362922
Kigoma,Kigoma District,222792
Kigoma,Kigoma Municipal,232388
Kigoma,Uvinza District,458353
Shinyanga,Kahama Municipal,453654
Shinyanga,Kishapu District,335483
Shinyanga,Msalala District,378214
Shinyanga,Shinyanga District,468611
Shinyanga,Shinyanga Municipal,214744
Shinyanga,Ushetu District,390593
Kagera,Biharamulo District,457114
Kagera,Bukoba District,322448
Kagera,Bukoba Municipal,144938
Kagera,Karagwe District,385744
Kagera,Kyerwa District,412910
Kagera,Missenyi District,245394
Kagera,Muleba District,637659
Kagera,Ngara District,383092
Mwanza,Buchosa District,413110
Mwanza,Ilemela Municipal,509687
Mwanza,Kwimba District,480025
Mwanza,Magu District,421119
Mwanza,Misungwi District,467867
Mwanza,Mwanza City,594834
Mwanza,Sengerema District,425415
Mwanza,Ukerewe District,387815
Mara,Bunda District,243822
Mara,Bunda Town,182970
Mara,Butiama District,281656
Mara,Musoma District,266665
Mara,Musoma Municipal,164172
Mara,Rorya District,354490
Mara,Serengeti District,340349
Mara,Tarime District,404848
Mara,Tarime Town,133043
Manyara,Babati District,375200
Manyara,Babati Town,129572
Manyara,Hanang District,367391
Manyara,Kiteto District,352305
Manyara,Mbulu District,238272
Manyara,Mbulu Town,138593
Manyara,Simanjiro District,291169
Njombe,Ludewa District,151361
Njombe,Makambako Town,146481
Njombe,Makete District,109160
Njombe,Njombe District,109311
Njombe,Njombe Town,182127
Njombe,Wanging'ombe District,191506
Katavi,Mlele District,118818
Katavi,Mpanda Municipal,245764
Katavi,Mpimbwe District,215438
Katavi,Nsimbo District,201102
Katavi,Tanganyika District,371836
Simiyu,Bariadi District,383385
Simiyu,Bariadi Town,260927
Simiyu,Busega District,282167
Simiyu,Itilima District,419213
Simiyu,Maswa District,427864
Simiyu,Meatu District,366941
Geita,Bukombe District,407102
Geita,Chato District,584963
Geita,Geita District,1035214
Geita,Geita Town,361671
Geita,Mbogwe District,362855
Geita,Nyang'hwale District,225803
Songwe,Ileje District,125869
Songwe,Mbozi District,510599
Songwe,Momba District,259781
Songwe,Songwe District,229129
Songwe,Tunduma Town,219309
Kaskazini Unguja,Kaskazini A Town,157369
Kaskazini Unguja,Kaskazini B Town,99921
Kusini Unguja,Kati Town,132717
Kusini Unguja,Kusini District,63156
Mjini Magharibi,Magharibi A Municipal,329645
Mjini Magharibi,Magharibi B Municipal,344517
Mjini Magharibi,Mjini Municipal,219007
Kaskazini Pemba,Micheweni District,123379
Kaskazini Pemba,Wete Town,148712
Kusini Pemba,Chake Chake Town,136298
Kusini Pemba,Mkoani Town,135052